"Database","Comparison","Pathway","GeneRatio","BgRatio","GeneCount","PValue","AdjustedPValue","QValue"
"GO-BP","D7_vs_D3","tumor necrosis factor production","3/33","191/18842",3,0.00447300053428183,0.0302834225361513,0.0199153508852093
"GO-BP","D7_vs_D3","regulation of tumor necrosis factor production","3/33","191/18842",3,0.00447300053428183,0.0302834225361513,0.0199153508852093
"GO-BP","D7_vs_D3","regulation of response to cytokine stimulus","3/33","196/18842",3,0.0048069278317267,0.0321102779159344,0.0211167496327082
"GO-BP","D7_vs_D3","positive regulation of chemokine production","2/33","65/18842",2,0.00577508373762682,0.0370993359515846,0.0243977143667318
"GO-BP","D7_vs_D3","defense response to fungus","2/33","65/18842",2,0.00577508373762682,0.0370993359515846,0.0243977143667318
"GO-BP","D7_vs_D3","negative regulation of response to external stimulus","4/33","416/18842",4,0.00577594451940839,0.0370993359515846,0.0243977143667318
"GO-BP","D7_vs_D3","mammary gland development","2/33","67/18842",2,0.00612542702731892,0.038846062540339,0.0255464178487784
"GO-BP","D7_vs_D3","response to fungus","2/33","70/18842",2,0.00666874543337191,0.0417630182764916,0.0274647015874396
"KEGG","D7_vs_D3","NOD-like receptor signaling pathway","6/13","187/9424",6,8.61404258405312e-08,1.55052766512956e-06,5.44044794782302e-07
"KEGG","D7_vs_D3","Hepatitis C","5/13","156/9424",5,1.34801801484906e-06,1.21321621336416e-05,4.25689899426019e-06
"KEGG","D7_vs_D3","Influenza A","4/13","173/9424",4,6.89088664540743e-05,0.000413453198724446,0.000145071297798051
"KEGG","D7_vs_D3","Measles","3/13","136/9424",3,0.000756275567572914,0.00340324005407811,0.00119411931722039
"KEGG","D7_vs_D3","Herpes simplex virus 1 infection","3/13","180/9424",3,0.0017019938178612,0.00612717774430032,0.00214988692782467
"KEGG","D7_vs_D3","Epstein-Barr virus infection","3/13","205/9424",3,0.00246942786328226,0.00740828358984678,0.00259939775082343
"KEGG","D7_vs_D3","Coronavirus disease","3/13","239/9424",3,0.0038159525066871,0.00981244930290969,0.00344296466768761
"KEGG","D7_vs_D3","PD-L1 expression and PD-1 checkpoint pathway in cancer","2/13","90/9424",2,0.00657006672012038,0.0147826501202708,0.0051868947790424
"KEGG","D7_vs_D3","Staphylococcus aureus infection","2/13","99/9424",2,0.00790242988917079,0.0158048597783416,0.00554556483450581
"KEGG","D7_vs_D3","Cell adhesion molecule (CAM) interaction","2/13","160/9424",2,0.019762527631436,0.0355725497365848,0.0124815963988017
"KEGG","D7_vs_D3","Transcriptional misregulation in cancer","2/13","201/9424",2,0.0302510074733541,0.0495016485927613,0.017368999506232
"Reactome","D7_vs_D3","Interferon alpha/beta signaling","4/16","57/11287",4,1.01670615158099e-06,3.77546294150497e-05,3.02260932307292e-05
"Reactome","D7_vs_D3","Interferon Signaling","6/16","266/11287",6,1.06351068774788e-06,3.77546294150497e-05,3.02260932307292e-05
"Reactome","D7_vs_D3","Antimicrobial mechanism of IFN-stimulated genes","4/16","159/11287",4,6.04783964177308e-05,0.00143132204855296,0.00114590645844122
"Reactome","D7_vs_D3","Alpha-defensins","2/16","10/11287",2,8.42230336462733e-05,0.00149495884722135,0.00119685363602599
"Reactome","D7_vs_D3","Modulation of host responses by IFN-stimulated genes","2/16","17/11287",2,0.000253071338859965,0.0035936130118115,0.00287702153651329
"Reactome","D7_vs_D3","Interferon gamma signaling","3/16","96/11287",3,0.000308146059367102,0.00364639503584404,0.00291927845716202
"Reactome","D7_vs_D3","Defensins","2/16","51/11287",2,0.00230680762923302,0.0233976202393634,0.0187319717261027
